name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,trans_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese,magnesium,potassium,calcium,copper,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
Pastel de queijo frito,,,8.7,48.1,22.7,422,,,,,,,,,0.9,0.015,,1.8e-05,9e-05,4e-05,1e-08,,1e-08,,,,1e-08,,,,0.0002,0.015,0.124,0.126,0.0001,0.0008,0.821,0.0013,0.124,,,,
Pastel massa crua,,,6.9,57.4,5.5,310,2.1,0.52,1.7,0.9,0.03,0.91,,,1.4,,,,0.00015,1e-08,1e-08,,1e-08,,,,,,,,0.00038,0.014,0.167,0.013,0.00011,0.0006,1.344,0.0011,0.073,,,,
Pastel massa frita,,,6,49.3,40.9,570,6.9,,10.1,21.2,1.32,19.61,,,1.3,,,,0.00016,1e-08,1e-08,,1e-08,,,,,,,,0.00036,0.013,0.143,0.011,8e-05,0.0005,1.175,0.0014,0.062,,,,
Pipoca com óleo de soja sem sal,,,9.9,70.3,15.9,448,2.4,,3.7,9.2,0.69,8.48,,,14.3,,,,3e-05,3e-05,1e-08,,1e-08,,,,1e-08,,,,0.00065,0.091,0.256,0.003,0.00046,0.002,0.004,0.0012,0.225,,,,
Polenta pré-cozida,,,2.3,23.3,0.3,103,,,,,,,,,2.4,,,,4e-05,1e-08,1e-08,,1e-08,,,,1e-08,,,,1e-08,0.004,0.1,0.001,4e-05,0.0001,0.442,1e-08,0.017,,,,
Torrada pão francês,,,10.5,74.6,3.3,377,0.9,0.45,0.8,1,0.05,0.99,,,3.4,,,,0.00038,1e-08,1e-08,,1e-08,,,,1e-08,,,,0.00055,0.032,0.189,0.019,0.00016,0.0009,0.829,0.0012,0.114,,,,
Abóbora cabotian cozida,,,1.4,10.8,0.7,48,0.1,,0.2,0.2,0.08,0.15,,,2.5,,,,8e-05,1e-08,1e-08,,7e-05,,,,0.0075,,,,0.00026,0.009,0.199,0.008,6e-05,0.0003,0.001,0.0003,0.033,,,,
Abóbora cabotian crua,,,1.7,8.4,0.5,39,0.1,,0.1,0,0.01,0.04,,,2.2,,,0.000223,1e-08,1e-08,1e-08,,0.0001,,,,0.0051,,,,0.00011,0.009,0.351,0.018,6e-05,0.0003,1e-08,0.0004,0.026,,,,
Abóbora menina brasileira crua,,,0.6,3.3,1e-05,14,,,,,,,,,1.2,,,0.000554,7e-05,1e-08,1e-08,,4e-05,,,,0.0015,,,,1e-05,0.004,0.165,0.009,2e-05,1e-08,1e-08,0.0002,0.012,,,,
Abóbora moranga crua,,,1,2.7,0.1,12,,,,,,,,,1.7,,,0.000139,1e-08,1e-08,1e-08,,6e-05,,,,0.0096,,,,1e-05,0.002,0.125,0.003,5e-05,0.0001,1e-08,1e-08,0.008,,,,
Abóbora moranga refogada,,,0.4,6,0.8,29,0.1,,0.2,0.4,0.05,0.4,,,1.5,,,4.8e-05,5e-05,1e-08,1e-08,,5e-05,,,,0.0067,,,,2e-05,0.007,0.183,0.019,4e-05,0.0001,0.003,0.0001,0.012,,,,
Abóbora pescoço crua,,,0.7,6.1,0.1,24,,,,,,,,,2.3,,,,1e-08,1e-08,1e-08,,6e-05,,,,0.0021,,,,7e-05,0.007,0.264,0.009,9e-05,0.0002,0.001,0.0003,0.032,,,,
Abobrinha italiana cozida,,,1.1,3,0.2,15,0.1,,1e-05,0.1,0.03,0.03,,,1.6,,,,5e-05,1e-08,1e-08,,6e-05,,,,0.0021,,,,0.00011,0.017,0.126,0.017,1e-05,0.0003,0.001,0.0002,0.022,,,,
Abobrinha italiana crua,,,1.1,4.3,0.1,19,,,,,,,,,1.4,,,2e-05,1e-08,6e-05,1e-08,,3e-05,,,,0.0069,,,,9e-05,0.02,0.253,0.015,5e-05,0.0002,1e-08,0.0002,0.032,,,,
Abobrinha italiana refogada,,,1.1,4.2,0.8,24,0.1,,0.2,0.5,0.06,0.4,,,1.4,,,2.1e-05,4e-05,1e-08,1e-08,,1e-08,,,,0.0075,,,,0.00014,0.013,0.194,0.021,2e-05,0.0003,0.002,0.0004,0.032,,,,
Abobrinha paulista crua,,,0.6,7.9,0.1,31,,,,,,,,,2.6,,,,1e-08,1e-08,1e-08,,3e-05,,,,0.0175,,,,0.00011,0.009,0.213,0.019,0.0001,0.0002,0.001,0.0002,0.033,,,,
Acelga crua,,,1.4,4.6,0.1,21,,,,,,,,,1.1,,,,4e-05,1e-08,1e-08,,0.00016,,,,0.0226,,,,0.00011,0.01,0.24,0.043,0.0001,0.0003,0.001,0.0003,0.04,,,,
Agrião cru,,,2.7,2.3,0.2,17,,,,,,,,,2.1,,,0.000229,0.00011,0.00023,0.00119,,9e-05,,,,0.0601,,,,0.00028,0.018,0.218,0.133,0.0001,0.0007,0.007,0.0031,0.051,,,,
Aipo cru,,,0.8,4.3,0.1,19,,,,,,,,,1,,,0.000458,1e-08,1e-08,1e-08,,0.00018,,,,0.0059,,,,0.00018,0.009,0.274,0.065,0.00031,0.0001,0.01,0.0007,0.028,,,,
Alface americana crua,,,0.6,1.7,0.1,9,,,,,,,,,1,,,,3e-05,1e-08,1e-08,,4e-05,,,,0.011,,,,0.00012,0.006,0.136,0.014,2e-05,0.0002,0.007,0.0003,0.019,,,,
Alface crespa crua,,,1.3,1.7,0.2,11,,,,,,,,,1.8,,,0.000117,0.00011,0.00012,0.00109,,1e-08,,,,0.0156,,,,0.0002,0.011,0.267,0.038,3e-05,0.0003,0.003,0.0004,0.026,,,,
Alface lisa crua,,,1.7,2.4,0.1,14,,,,,,,,,2.3,,,0.000184,9e-05,8e-05,0.00075,,7e-05,,,,0.0214,,,,0.00033,0.009,0.349,0.028,3e-05,0.0003,0.004,0.0006,0.026,,,,
Alface roxa crua,,,0.9,2.5,0.2,13,,,,,,,,,2,,,0.000156,1e-08,1e-08,1e-08,,1e-08,,,,0.0135,,,,0.00012,0.009,0.308,0.034,4e-05,0.0002,0.007,0.0025,0.051,,,,
Alfavaca crua,,,2.7,5.2,0.5,29,0.1,,1e-05,0.2,0.16,0.04,,,4.1,,,,1e-08,0.00012,1e-08,,0.00056,,,,1e-08,,,,0.00015,0.084,0.261,0.258,0.00015,0.0007,0.005,0.0013,0.05,,,,
Alho cru,,,7,23.9,0.2,113,,,,,,,,,4.3,,,,0.00018,1e-08,1e-08,,0.00044,,,,,,,,0.00024,0.021,0.535,0.014,0.00015,0.0008,0.005,0.0008,0.149,,,,
Alho-poró cru,,,1.4,6.9,0.1,32,,,,,,,,,2.5,,,8e-06,6e-05,1e-08,0.00034,,8e-05,,,,0.0141,,,,0.0001,0.011,0.224,0.034,0.00029,0.0002,0.002,0.0006,0.036,,,,
Almeirão cru,,,1.8,3.3,0.2,18,,,,,,,,,2.6,,,0.000283,0.0001,0.00018,0.00063,,1e-08,,,,0.0017,,,,0.00017,0.021,0.369,0.019,0.0001,0.0003,0.002,0.0007,0.04,,,,
Almeirão refogado,,,1.7,5.7,4.8,65,0.8,0.04,1.1,2.6,0.35,2.3,,,3.4,,,,3e-05,6e-05,0.00403,,5e-05,,,,0.0015,,,,0.00028,0.017,0.315,0.063,6e-05,0.0002,0.015,0.0016,0.031,,,,
Batata baroa cozida,,,0.9,18.9,0.2,80,,,,,,,,,1.8,,,,6e-05,1e-08,0.00198,,1e-08,,,,0.0171,,,,0.00022,0.008,0.258,0.012,0.00015,0.0004,0.002,0.0004,0.029,,,,
Batata baroa crua,,,1,24,0.2,101,,,,,,,,,2.1,,,1.2e-05,5e-05,1e-08,1e-08,,0.00012,,,,0.0076,,,,7e-05,0.012,0.505,0.017,5e-05,0.0002,1e-08,0.0003,0.045,,,,
Batata doce cozida,,,0.6,18.4,0.1,77,,,,,,,,,2.2,,,,8e-05,1e-08,0.00257,,5e-05,,,,0.0238,,,,0.00014,0.011,0.148,0.017,6e-05,0.0001,0.003,0.0002,0.015,,,,
Batata doce crua,,,1.3,28.2,0.1,118,,,,,,,,,2.6,,,,6e-05,1e-08,1e-08,,0.0001,,,,0.0165,,,,0.00018,0.017,0.34,0.021,0.00011,0.0002,0.009,0.0004,0.036,,,,
Batata frita tipo chips industrializada,,,5.6,51.2,36.6,543,12.9,0.11,11.9,4,0.09,3.85,,,2.5,,,,0.0002,1e-08,0.00261,,0.00013,,,,1e-08,,,,0.00023,0.024,1.014,0.012,0.00012,0.0006,0.607,0.0007,0.096,,,,
Batata inglesa cozida,,,1.2,11.9,1e-05,52,,,,,,,,,1.3,,,,5e-05,1e-08,1e-08,,8e-05,,,,0.0038,,,,7e-05,0.005,0.161,0.004,6e-05,0.0002,0.002,0.0002,0.024,,,,
Batata inglesa crua,,,1.8,14.7,1e-05,64,,,,,,,,,1.2,,,,0.0001,1e-08,1e-08,,0.00015,,,,0.0311,,,,0.0001,0.015,0.302,0.004,9e-05,0.0002,1e-08,0.0004,0.039,,,,
Batata inglesa frita,,,5,35.6,13.1,267,2.1,0.07,3.4,6.6,0.3,6.29,,,8.1,,,,0.00017,1e-08,0.00251,,0.0001,,,,0.0163,,,,0.00015,0.014,0.489,0.006,0.0001,0.0004,0.002,0.0004,0.07,,,,
Batata inglesa sauté,,,1.3,14.1,0.9,68,0.3,,0.2,0.4,0.03,0.33,,,1.4,,,,7e-05,1e-08,0.00138,,9e-05,,,,1e-08,,,,8e-05,0.006,0.199,0.004,5e-05,0.0002,0.008,0.0003,0.032,,,,
Berinjela cozida,,,0.7,4.5,0.1,19,,,,,,,,,2.5,,,,4e-05,1e-08,1e-08,,1e-08,,,,1e-08,,,,0.00011,0.009,0.105,0.011,4e-05,0.0001,0.001,0.0002,0.015,,,,
Berinjela crua,,,1.2,4.4,0.1,20,,,,,,,,,2.9,,,1.2e-05,4e-05,5e-05,1e-08,,1e-08,,,,0.003,,,,0.0001,0.013,0.205,0.009,6e-05,0.0001,1e-08,0.0002,0.02,,,,
Beterraba cozida,,,1.3,7.2,0.1,32,,,,,,,,,1.9,,,,9e-05,1e-08,1e-08,,1e-08,,,,0.0012,,,,0.00019,0.017,0.245,0.015,4e-05,0.0004,0.023,0.0002,0.03,,,,
Beterraba crua,,,1.9,11.1,0.1,49,,,,,,,,,3.4,,,,4e-05,1e-08,1e-08,,4e-05,,,,0.0031,,,,0.00123,0.024,0.375,0.018,8e-05,0.0005,0.01,0.0003,0.019,,,,
Biscoito polvilho doce,,,1.3,80.5,12.2,438,2.4,4.45,4.3,0.6,,0.56,,,1.2,0.009,,1e-11,1e-08,3e-05,1e-08,,7e-05,,,,1e-08,,,,8e-05,0.006,0.054,0.03,4e-05,0.0001,0.098,0.0018,0.023,,,,
Brócolis cozido,,,2.1,4.4,0.5,25,0.1,1e-05,1e-05,0.2,0.1,0.06,,,3.4,,,,4e-05,3e-05,1e-08,,1e-08,,,,0.042,,,,0.00012,0.015,0.119,0.051,8e-05,0.0002,0.002,0.0005,0.033,,,,
Brócolis cru,,,3.6,4,0.3,25,0.1,,0.1,0.2,0.12,0.07,,,2.9,,,0.00014,0.00012,0.00018,0.00139,,8e-05,,,,0.0343,,,,0.00026,0.03,0.322,0.086,6e-05,0.0005,0.003,0.0006,0.078,,,,
Cará cozido,,,1.5,18.9,0.1,78,,,,,,,,,2.6,,,,0.00012,1e-08,1e-08,,0.00012,,,,1e-08,,,,2e-05,0.015,0.203,0.005,0.00011,0.0002,0.001,0.0003,0.028,,,,
Cará cru,,,2.3,23,0.1,96,,,,,,,,,7.3,,,,0.00011,1e-08,1e-08,,2e-05,,,,0.0088,,,,1e-05,0.011,0.212,0.004,6e-05,0.0002,1e-08,0.0002,0.035,,,,
Caruru cru,,,3.2,6,0.6,34,0.1,,1e-05,0.3,0.17,0.09,,,4.5,,,0.000953,1e-08,0.0001,1e-08,,0.00011,,,,0.0054,,,,0.00089,0.197,0.279,0.455,0.00037,0.006,0.014,0.0045,0.077,,,,
Catalonha crua,,,1.9,4.8,0.3,24,0.1,,1e-05,0.1,0.1,0.04,,,2,,,,1e-08,3e-05,0.00154,,0.00036,,,,0.0073,,,,0.00034,0.017,0.412,0.057,0.00027,0.0005,0.009,0.0031,0.032,,,,
Catalonha refogada,,,2,4.8,4.8,63,0.7,0.01,1.1,3,0.48,2.48,,,3.7,,,0.000425,4e-05,1e-08,0.0006,,3e-05,,,,1e-08,,,,0.00064,0.016,0.452,0.063,0.00018,0.0004,0.025,0.0012,0.035,,,,
Cebola crua,,,1.7,8.9,0.1,39,,,,,,,,,2.2,,,,4e-05,1e-08,1e-08,,0.00014,,,,0.0047,,,,0.00013,0.012,0.176,0.014,5e-05,0.0002,0.001,0.0002,0.038,,,,
Cebolinha crua,,,1.9,3.4,0.4,20,,,,,,,,,3.6,,,6.7e-05,3e-05,4e-05,1e-08,,8e-05,,,,0.0318,,,,0.00013,0.025,0.206,0.08,4e-05,0.0003,0.002,0.0006,0.027,,,,
Cenoura cozida,,,0.8,6.7,0.2,30,1e-05,,1e-05,0.1,1e-05,0.12,,,2.6,,,0.000306,7e-05,1e-08,0.00268,,6e-05,,,,1e-08,,,,5e-05,0.014,0.176,0.026,2e-05,0.0002,0.008,0.0001,0.027,,,,
Cenoura crua,,,1.3,7.7,0.2,34,,,,,,,,,3.2,,,0.000663,1e-08,1e-08,1e-08,,5e-05,,,,0.0051,,,,5e-05,0.011,0.315,0.023,5e-05,0.0002,0.003,0.0002,0.028,,,,
Chicória crua,,,1.1,2.9,0.1,14,,,,,,,,,2.2,,,,3e-05,0.0001,0.00068,,1e-08,,,,0.0065,,,,0.00013,0.014,0.425,0.045,4e-05,0.0001,0.014,0.0005,0.013,,,,
Chuchu cozido,,,0.4,4.8,1e-05,19,,,,,,,,,1,,,,3e-05,1e-08,1e-08,,1e-08,,,,0.0056,,,,7e-05,0.007,0.054,0.008,1e-08,0.0001,0.002,0.0001,0.013,,,,
Chuchu cru,,,0.7,4.1,0.1,17,,,,,,,,,1.3,,,,1e-08,1e-08,1e-08,,1e-08,,,,0.0106,,,,8e-05,0.007,0.126,0.012,3e-05,0.0001,1e-08,0.0002,0.018,,,,
Coentro folhas desidratadas,,,20.9,48,10.4,309,,,,,,,,,37.3,,,,0.0001,0.00011,1e-08,,9e-05,,,,0.0408,,,,0.01048,0.393,3.223,0.784,0.00409,0.0047,0.018,0.0814,0.388,,,,
Couve manteiga crua,,,2.9,4.3,0.5,27,0.1,,1e-05,0.1,0.08,0.05,,,3.1,,,0.000248,0.0002,0.00031,0.00229,,6e-05,,,,0.0967,,,,0.00102,0.035,0.403,0.131,6e-05,0.0004,0.006,0.0005,0.049,,,,
Couve manteiga refogada,,,1.7,8.7,6.6,90,1,,1.6,3.6,0.38,3.16,,,5.7,,,0.000192,1e-08,5e-05,1e-08,,7e-05,,,,0.0769,,,,0.00012,0.026,0.315,0.177,2e-05,0.0002,0.011,0.0005,0.033,,,,
Couve-flor crua,,,1.9,4.5,0.2,23,,,,,,,,,2.4,,,1e-06,3e-05,9e-05,1e-08,,0.0001,,,,0.0361,,,,0.00016,0.012,0.256,0.018,3e-05,0.0003,0.003,0.0005,0.057,,,,
Couve-flor cozida,,,1.2,3.9,0.3,19,0.1,,1e-05,0.1,0.06,0.06,,,2.1,,,,4e-05,1e-08,1e-08,,1e-08,,,,0.0237,,,,0.0001,0.005,0.08,0.016,1e-08,0.0003,0.002,0.0001,0.025,,,,
Espinafre Nova Zelândia cru,,,2,2.6,0.2,16,,,,,,,,,2.1,,,0.000242,0.0001,0.00021,1e-08,,6e-05,,,,0.0024,,,,0.00071,0.082,0.336,0.098,6e-05,0.0003,0.017,0.0004,0.025,,,,
Espinafre Nova Zelândia refogado,,,2.7,4.2,5.4,67,0.9,0.04,1.3,2.9,0.38,2.55,,,2.5,,,0.000312,8e-05,0.00013,1e-08,,0.00013,,,,0.0053,,,,0.00061,0.123,0.149,0.112,4e-05,0.0006,0.047,0.0006,0.034,,,,
Farinha de mandioca crua,,,1.6,87.9,0.3,361,0.1,0.10001,0.1,1e-05,0.01,0.03,,,6.4,,,,0.00014,1e-08,1e-08,,4e-05,,,,1e-08,,,,1e-08,0.037,0.34,0.065,8e-05,0.0004,0.001,0.0011,0.042,,,,
Farinha de mandioca torrada,,,1.2,89.2,0.3,365,0.1,,0.1,1e-05,0.01,0.03,,,6.5,,,,1e-08,1e-08,1e-08,,0.00081,,,,1e-08,,,,0.00037,0.04,0.328,0.076,1e-08,0.0004,0.01,0.0012,0.039,,,,
Farinha de puba,,,1.6,87.3,0.5,360,0.2,,0.2,1e-05,,0.04,,,4.2,,,,9e-05,1e-08,1e-08,,1e-08,,,,1e-08,,,,0.00016,0.027,0.338,0.041,7e-05,0.0003,0.004,0.0014,0.033,,,,
Fécula de mandioca,,,0.5,81.1,0.3,331,,,,,,,,,0.6,,,,3e-05,1e-08,1e-08,,1e-08,,,,1e-08,,,,1e-08,0.003,0.048,0.012,1e-08,1e-08,0.002,0.0001,0.06,,,,
Feijão broto cru,,,4.2,7.8,0.1,39,,,,,,,,,2,,,,1e-08,4e-05,1e-08,,0.00015,,,,0.012,,,,0.00019,0.025,0.189,0.014,0.00017,0.0006,0.002,0.0008,0.075,,,,
Inhame cru,,,2.1,23.2,0.2,97,0.1,,1e-05,0.1,1e-05,0.08,,,1.7,,,,8e-05,1e-08,1e-08,,0.00011,,,,0.0056,,,,0.00015,0.029,0.568,0.012,0.00017,0.0003,1e-08,0.0004,0.065,,,,
Jiló cru,,,1.4,6.2,0.2,27,0.1,,0.1,0.2,1e-05,0.2,,,4.8,,,6e-06,7e-05,4e-05,1e-08,,1e-08,,,,0.0068,,,,0.00014,0.021,0.213,0.02,7e-05,0.0001,1e-08,0.0003,0.029,,,,
Jurubeba crua,,,4.4,23.1,3.9,126,0.5,,0.5,2.1,0.03,2.09,,,23.9,,,,0.00013,2e-05,1e-08,,0.0002,,,,0.0138,,,,0.00052,0.065,0.619,0.151,0.00116,0.0006,0.001,0.0009,0.155,,,,
Mandioca cozida,,,0.6,30.1,0.3,125,0.1,,0.1,0.1,0.01,0.05,,,1.6,,,,6e-05,1e-08,1e-08,,3e-05,,,,0.0111,,,,6e-05,0.027,0.1,0.019,1e-05,0.0002,0.001,0.0001,0.022,,,,
Mandioca crua,,,1.1,36.2,0.3,151,0.1,1e-05,0.1,1e-05,1e-05,0.04,,,1.9,,,,1e-08,1e-08,1e-08,,4e-05,,,,0.0165,,,,5e-05,0.044,0.208,0.015,7e-05,0.0002,0.002,0.0003,0.029,,,,
Mandioca farofa temperada,,,2.1,80.3,9.1,406,1.9,0.63,2.4,2.5,0.19,2.29,,,7.8,,,,0.0001,1e-08,1e-08,,0.00015,,,,1e-08,,,,0.00029,0.034,0.201,0.066,1e-08,0.0002,0.575,0.0014,0.045,,,,
Mandioca frita,,,1.4,50.3,11.2,300,1.7,0.04,2.8,6.2,0.57,5.58,,,1.9,,,,5e-05,1e-08,1e-08,,4e-05,,,,1e-08,,,,0.00018,0.095,0.176,0.023,0.00012,0.0004,0.009,0.0003,0.057,,,,
Manjericão cru,,,2,3.6,0.4,21,0.1,,1e-05,0.3,0.21,0.05,,,3.3,,,0.000517,6e-05,0.00021,0.0009,,6e-05,,,,0.0023,,,,0.00017,0.058,0.252,0.211,0.00016,0.0005,0.004,0.001,0.04,,,,
Maxixe cru,,,1.4,2.7,0.1,14,,,,,,,,,2.2,,,3e-06,6e-05,2e-05,1e-08,,4e-05,,,,0.0096,,,,7e-05,0.01,0.328,0.021,2e-05,0.0002,0.011,0.0004,0.025,,,,
Mostarda folha crua,,,2.1,3.2,0.2,18,,,,,,,,,1.9,,,,5e-05,4e-05,1e-08,,5e-05,,,,0.0386,,,,0.00014,0.016,0.364,0.068,5e-05,0.0003,0.003,0.0011,0.058,,,,
Nhoque batata cozido,,,5.9,36.8,1.9,181,0.6,,0.5,0.8,0.05,0.72001,,,1.8,0.015,,1.5e-05,8e-05,1e-08,1e-08,,4e-05,,,,1e-08,,,,0.0003,0.018,0.164,0.011,0.0001,0.0005,0.007,0.0016,0.068,,,,
Nabo cru,,,1.2,4.1,0.1,18,,,,,,,,,2.6,,,,7e-05,1e-08,1e-08,,3e-05,,,,0.0096,,,,0.00442,0.015,0.28,0.042,2e-05,0.0002,0.002,0.0002,0.017,,,,
Palmito juçara em conserva,,,1.8,4.3,0.4,23,0.1,1e-05,1e-05,0.1,0.01,0.09,,,3.2,,,,6e-05,4e-05,1e-08,,1e-08,,,,0.002,,,,0.01082,0.034,0.244,0.058,0.00023,0.0007,0.514,0.0003,0.04,,,,
Palmito pupunha em conserva,,,2.5,5.5,0.5,29,,,,,,,,,2.6,,,,3e-05,1e-08,1e-08,,1e-08,,,,0.0087,,,,0.00014,0.025,0.206,0.032,8e-05,0.0004,0.563,0.0002,0.055,,,,
Pão de queijo assado,,,5.1,34.2,24.6,363,,,,,,,,,0.6,0.068,,6.1e-05,4e-05,0.0001,1e-08,,4e-05,,,,,,,,3e-05,0.008,0.093,0.102,1e-05,0.0006,0.773,0.0003,0.094,,,,
Pão de queijo cru,,,3.6,38.5,14,295,3.4,0.75,3,4.1,0.36,3.67,,,1,0.063,,4.8e-05,1e-08,8e-05,1e-08,,1e-08,,,,,,,,1e-08,0.007,0.058,0.088,1e-08,0.0004,0.405,0.0003,0.079,,,,
Pepino cru,,,0.9,2,1e-05,10,,,,,,,,,1.1,,,2e-06,1e-08,3e-05,1e-08,,1e-08,,,,0.005,,,,8e-05,0.009,0.154,0.01,4e-05,0.0001,1e-08,0.0001,0.012,,,,
Pimentão amarelo cru,,,1.2,6,0.4,28,,,,,,,,,1.9,,,2e-05,4e-05,3e-05,1e-08,,6e-05,,,,0.2014,,,,8e-05,0.011,0.221,0.01,4e-05,0.0002,1e-08,0.0004,0.022,,,,
Pimentão verde cru,,,1.1,4.9,0.2,21,,,,,,,,,2.6,,,2.3e-05,1e-08,1e-08,1e-08,,1e-08,,,,0.1002,,,,0.00014,0.008,0.174,0.009,7e-05,0.0001,1e-08,0.0004,0.017,,,,
Pimentão vermelho cru,,,1,5.5,0.1,23,,,,,,,,,1.6,,,4.3e-05,5e-05,6e-05,1e-08,,2e-05,,,,0.1582,,,,6e-05,0.011,0.211,0.006,4e-05,0.0002,1e-08,0.0003,0.02,,,,
Polvilho doce,,,0.4,86.8,1e-05,351,,,,,,,,,0.2,,,,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,9e-05,0.004,0.038,0.027,1e-08,1e-08,0.002,0.0005,0.008,,,,
Quiabo cru,,,1.9,6.4,0.3,30,,,,,,,,,4.6,,,2.5e-05,0.0001,1e-08,1e-08,,3e-05,,,,0.0056,,,,0.00046,0.05,0.249,0.112,0.00017,0.0006,0.001,0.0004,0.056,,,,
Rabanete cru,,,1.4,2.7,0.1,14,,,,,,,,,2.2,,,,6e-05,2e-05,1e-08,,4e-05,,,,0.0096,,,,7e-05,0.01,0.328,0.021,2e-05,0.0002,0.011,0.0004,0.025,,,,
Repolho branco cru,,,0.9,3.9,0.1,17,,,,,,,,,1.9,,,3e-06,1e-08,3e-05,1e-08,,6e-05,,,,0.0187,,,,0.00013,0.009,0.15,0.035,2e-05,0.0002,0.004,0.0002,0.014,,,,
Repolho roxo cru,,,1.9,7.2,0.1,31,,,,,,,,,2,,,,7e-05,1e-08,1e-08,,9e-05,,,,0.0432,,,,0.00025,0.018,0.328,0.044,0.0009,0.0003,0.002,0.0005,0.058,,,,
Repolho roxo refogado,,,1.8,7.6,1.2,42,0.2,1e-05,0.3,0.7,0.07,0.61,,,1.8,,,,7e-05,1e-08,0.00063,,7e-05,,,,0.0405,,,,0.00026,0.017,0.321,0.043,2e-05,0.0003,0.003,0.0005,0.059,,,,
Rúcula crua,,,1.8,2.2,0.1,13,,,,,,,,,1.7,,,0.000266,4e-05,1e-08,0.00035,,1e-08,,,,0.0463,,,,0.00024,0.018,0.233,0.117,4e-05,0.0002,0.009,0.0009,0.025,,,,
Salsa crua,,,3.3,5.7,0.6,33,0.1,,1e-05,0.2,0.09001,0.11,,,1.9,,,0.000872,0.00012,0.00015,0.00072,,0.00047,,,,0.0517,,,,0.00188,0.021,0.711,0.179,0.0002,0.0013,0.002,0.0032,0.049,,,,
Seleta de legumes enlatada,,,3.4,12.7,0.4,57,0.1,2e-05,0.2,0.2,0.01,0.2,,,3.1,,,0.000122,3e-05,1e-08,0.00372,,1e-08,,,,1e-08,,,,0.00013,0.016,0.122,0.016,8e-05,0.0005,0.398,0.0011,0.049,,,,
Serralha crua,,,2.7,4.9,0.7,30,0.1,,0.1,0.3,0.26,0.07,,,3.5,,,0.000567,1e-08,0.00011,1e-08,,8e-05,,,,0.0015,,,,0.00023,0.03,0.265,0.126,0.0002,0.0013,0.019,0.0013,0.048,,,,
Taioba crua,,,2.9,5.4,0.9,34,0.2,,0.1,0.4,0.25,0.12,,,4.5,,,0.00058,1e-08,0.0001,1e-08,,0.0001,,,,0.0179,,,,0.00066,0.038,0.29,0.141,0.00016,0.0006,0.001,0.0019,0.053,,,,
Tomate com semente cru,,,1.1,3.1,0.2,15,,,,,,,,,1.2,,,2.7e-05,0.00012,1e-08,1e-08,,2e-05,,,,0.0212,,,,7e-05,0.011,0.222,0.007,4e-05,0.0001,0.001,0.0002,0.02,,,,
Tomate extrato,,,2.4,15,0.2,61,,,,,,,,,2.8,,,8.3e-05,1e-08,1e-08,0.00242,,0.00011,,,,0.018,,,,0.00018,0.029,0.68,0.029,0.0002,0.0004,0.498,0.0021,0.047,,,,
Tomate molho industrializado,,,1.4,7.7,0.9,38,0.1,2e-05,0.1,0.2,0.02,0.17,,,3.1,,,3.8e-05,1e-08,1e-08,1e-08,,6e-05,,,,0.0027,,,,8e-05,0.017,0.388,0.012,8e-05,0.0001,0.418,0.0016,0.027,,,,
Tomate purê,,,1.4,6.9,1e-05,28,,,,,,,,,1,,,4.5e-05,1e-08,1e-08,0.00118,,7e-05,,,,0.0054,,,,,0.015,0.308,0.013,9e-05,0.0003,0.104,0.0013,0.03,,,,
Tomate salada,,,0.8,5.1,1e-05,21,,,,,,,,,2.3,,,,6e-05,4e-05,1e-08,,5e-05,,,,0.0128,,,,4e-05,0.01,0.161,0.007,7e-05,0.0002,0.005,0.0003,0.023,,,,
Vagem crua,,,1.8,5.3,0.2,25,,,,,,,,,2.4,,,1.6e-05,1e-08,8e-05,1e-08,,1e-08,,,,0.0012,,,,0.0005,0.018,0.208,0.041,6e-05,0.0003,1e-08,0.0004,0.028,,,,
Abacate cru,,,1.2,6,8.4,96,2.3,,4.3,1.4,0.08,1.29,,,6.3,,,,1e-08,4e-05,1e-08,,1e-08,,,,0.0087,,,,0.00017,0.015,0.206,0.008,0.00015,0.0002,1e-08,0.0002,0.022,,,,
Abacaxi cru,,,0.9,12.3,0.1,48,,,,,,,,,1,,,,0.00017,2e-05,1e-08,,1e-08,,,,0.0346,,,,0.00162,0.018,0.131,0.022,0.00011,0.0001,1e-08,0.0003,0.013,,,,
Abacaxi polpa congelada,,,0.5,7.8,0.1,31,,,,,,,,,0.3,,,1e-06,5e-05,1e-08,1e-08,,1e-08,,,,0.0012,,,,0.00102,0.01,0.107,0.014,4e-05,0.0001,0.001,0.0004,0.008,,,,
Abiu cru,,,0.8,14.9,0.7,62,0.3,,0.1,0.1,0.02,0.1,,,1.7,,,,1e-08,4e-05,1e-08,,5e-05,,,,0.0103,,,,8e-05,0.009,0.128,0.006,9e-05,0.0001,1e-08,0.0002,0.02,,,,
