name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,trans_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese,magnesium,potassium,calcium,copper,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
Soja queijo (tofu),,,6.6,2.1,4,64,0.4,,0.5,1.7,0.2,1.48,,,0.8,,,,4e-05,1e-08,1e-08,,3e-05,,,,1e-08,,,,0.00033,0.038,0.182,0.081,0.00018,0.0009,0.001,0.0014,0.13,,,,
Tremoço cru,,,33.6,43.8,10.3,381,1.2,,5.4,1.7,0.57,1.08,,,32.3,,,,0.00024,1e-08,1e-08,,7e-05,,,,0.025,,,,,0.121,0.708,0.177,0.00079,0.0042,0.003,0.0028,0.265,,,,
Tremoço em conserva,,,11.1,12.4,3.8,121,0.4,,1.9,0.6,0.22,0.4,,,14.4,,,,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,,0.004,0.005,0.016,0.00027,0.0006,1.809,0.0003,0.04,,,,
Amêndoa torrada salgada,,,18.6,29.5,47.3,581,4.8,0.12,32.3,16.2,0.03,16.17,,,11.6,,,,0.00029,0.00016,1e-08,,1e-08,,,,1e-08,,,,0.00195,0.222,0.64,0.237,0.00093,0.0026,0.279,0.0031,0.493,,,,
Castanha-de-caju torrada salgada,,,18.5,29.1,46.3,570,7.7,0.11,26.5,8.1,0.08,8,,,3.7,,,,0.00029,5e-05,1e-08,,0.00039,,,,1e-08,,,,0.00159,0.237,0.671,0.033,0.00192,0.0047,0.125,0.0052,0.594,,,,
Castanha-do-Brasil crua,,,14.5,15.1,63.5,643,15.3,,27.4,21,0.04,20.97,,,7.9,,,,0.0003,1e-08,1e-08,,0.00044,,,,1e-08,,,,0.0011,0.365,0.651,0.146,0.00179,0.0042,0.001,0.0023,0.853,,,,
Coco cru,,,3.7,10.4,42,406,30,,1.5,0.3,,0.32,,,5.4,,,,1e-08,1e-08,1e-08,,3e-05,,,,0.0025,,,,0.001,0.051,0.354,0.006,0.00045,0.0009,0.015,0.0018,0.118,,,,
Coco verde cru,,,,,,,3.1,,1.1,0.3,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farinha de mesocarpo de babaçu crua,,,1.4,79.2,0.2,329,,,,,,,,,17.9,,,,1e-08,1e-08,0.00258,,1e-08,,,,1e-08,,,,0.00038,0.039,0.362,0.061,0.00022,0.0003,0.012,0.0183,0.026,,,,
Gergelim semente,,,21.2,21.6,50.4,584,7.8,,19.9,22.5,0.16,22.39,,,11.9,,,,0.00094,1e-08,0.00592,,0.00013,,,,1e-08,,,,0.00267,0.361,0.546,0.825,0.00151,0.0052,0.003,0.0054,0.741,,,,
Linhaça semente,,,14.1,43.3,32.3,495,4.2,,7.1,25.3,19.81,5.42,,,33.5,,,,0.00012,1e-08,1e-08,,0.00013,,,,1e-08,,,,0.00281,0.347,0.869,0.211,0.00109,0.0044,0.009,0.0047,0.615,,,,
Pinhão cozido,,,3,43.9,0.7,174,0.3,,0.1,0.2,,0.22,,,15.6,,,,1e-08,1e-08,1e-08,,1e-08,,,,0.0277,,,,0.00041,0.053,0.727,0.016,0.00018,0.0008,0.001,0.0008,0.166,,,,
Pupunha cozida,,,2.5,29.6,12.8,219,3.1,,6.8,0.4,0.08,0.28,,,4.3,,,0.000438,1e-08,9e-05,1e-08,,3e-05,,,,0.0022,,,,0.00013,0.025,0.303,0.028,0.00028,0.0003,0.001,0.0005,0.049,,,,
Noz crua,,,14,18.4,59.4,620,5.6,,8.7,44.1,8.82,35.3,,,7.2,,,,0.00038,1e-08,0.00108,,0.00013,,,,1e-08,,,,0.00405,0.153,0.533,0.105,0.00075,0.0021,0.005,0.002,0.396,,,,
